,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
83,Jamorko Pickett\pickeja01,Oct 23 '21 DET @ CHI,24,1,13,176,18,50,13,39,1,2,6,32,7,0,7,5,12,50,.360,.333,.500,13.5,3.8,2.5,0.5
84,Yves Pons\ponsyv01,Nov 12 '21 MEM vs. PHO,22,1,12,71,5,16,3,9,0,2,5,12,1,1,4,1,6,13,.313,.333,.000,5.9,1.1,1.0,0.1
85,Micah Potter\pottemi01,Jan 1 '22 DET vs. SAS,23,1,3,31,5,11,0,2,2,2,4,9,0,1,1,1,4,12,.455,.000,1.000,10.3,4.0,3.0,0.0
86,Myles Powell\powelmy01,Dec 20 '21 PHI @ BOS,24,1,11,52,5,17,1,6,2,2,1,6,3,1,0,3,8,13,.294,.167,1.000,4.7,1.2,0.5,0.3
87,Joshua Primo\primojo01,Oct 20 '21 SAS vs. ORL,19,1,50,965,101,270,42,137,44,59,32,113,81,20,23,57,79,288,.374,.307,.746,19.3,5.8,2.3,1.6
88,Trevelin Queen\queentr01,Dec 18 '21 HOU @ DET,24,1,10,74,15,33,9,24,4,4,7,16,4,5,1,7,6,43,.455,.375,1.000,7.4,4.3,1.6,0.4
89,Neemias Queta\quetane01,Dec 17 '21 SAC vs. MEM,22,1,14,120,17,38,0,0,11,17,14,31,6,1,8,6,18,45,.447,,.647,8.6,3.2,2.2,0.4
90,Austin Reaves\reaveau01,Oct 22 '21 LAL vs. PHO,23,1,61,1418,146,318,53,167,99,118,45,193,110,29,20,40,87,444,.459,.317,.839,23.2,7.3,3.2,1.8
91,Jeremiah Robinson-Earl\robinje02,Oct 20 '21 OKC @ UTA,21,1,49,1087,134,324,58,165,40,54,75,274,49,29,15,39,75,366,.414,.352,.741,22.2,7.5,5.6,1.0
92,Matt Ryan\ryanma01,Apr 10 '22 BOS @ MEM,24,1,1,5,1,5,1,5,0,0,0,0,0,1,0,0,0,3,.200,.200,,5.0,3.0,0.0,0.0
93,Olivier Sarr\sarrol01,Dec 28 '21 OKC @ SAC,22,1,22,421,58,101,13,29,24,29,34,93,19,6,15,22,52,153,.574,.448,.828,19.1,7.0,4.2,0.9
94,Jordan Schakel\schakjo01,Dec 26 '21 WAS vs. PHI,23,1,4,30,1,11,1,6,2,2,2,8,0,1,0,1,0,5,.091,.167,1.000,7.5,1.3,2.0,0.0
95,Tre Scott\scotttr01,Dec 22 '21 CLE @ BOS,25,1,2,11,3,6,0,1,0,0,1,2,0,1,1,0,2,6,.500,.000,,5.5,3.0,1.0,0.0
96,Alperen Şengün\sengual01,Oct 20 '21 HOU @ MIN,19,1,72,1489,249,525,29,117,165,232,138,393,185,59,68,145,214,692,.474,.248,.711,20.7,9.6,5.5,2.6
