,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
37,37,SAC,Gary Trent Jr.,Duke,4,204,5693,2752,454,287,0.416,0.389,0.82,27.9,13.5,2.2,1.4,9.6,0.081,-0.9,1.6
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,143,1871,439,320,118,0.432,0.3,0.759,13.1,3.1,2.2,0.8,1.7,0.044,-3.6,-0.7
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,4,166,3134,892,1024,175,0.591,0.143,0.616,18.9,5.4,6.2,1.1,9.1,0.14,-0.1,1.5
42,42,DET,Bruce Brown,Miami (FL),4,269,6308,2056,1153,573,0.482,0.327,0.745,23.4,7.6,4.3,2.1,12.7,0.097,-0.9,1.7
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,4,207,3917,1748,813,227,0.475,0.277,0.634,18.9,8.4,3.9,1.1,4.9,0.06,-2.3,-0.3
46,46,HOU,De'Anthony Melton,USC,4,235,4853,1968,843,660,0.409,0.361,0.766,20.7,8.4,3.6,2.8,7.7,0.076,0.5,3.1
47,47,LAL,Svi Mykhailiuk,Kansas,4,220,3745,1451,395,298,0.398,0.353,0.785,17,6.6,1.8,1.4,2.5,0.033,-2.7,-0.7
48,48,MIN,Keita Bates-Diop,Ohio State,4,163,2448,853,490,100,0.462,0.304,0.714,15,5.2,3,0.6,3.5,0.068,-2.4,-0.2
49,49,SAS,Chimezie Metu,USC,4,143,2017,869,516,111,0.463,0.308,0.762,14.1,6.1,3.6,0.8,2.1,0.05,-2.3,-0.2
50,50,IND,Alize Johnson,Missouri State,4,72,538,182,218,31,0.48,0.25,0.721,7.5,2.5,3,0.4,1.3,0.12,-2,0
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,4,178,3713,1731,413,454,0.447,0.361,0.819,20.9,9.7,2.3,2.6,6.9,0.09,-1.8,0.2
55,55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,0,0,,2.5,0,0,0,0,-0.217,-21.8,0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,0.529,0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,0,0,0.5,5,0.2,1.2,0,-0.1,-0.225,-17.1,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-9.9,-0.2
