,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
44,Joffrey Lauvergne,Feb 22 '15 DEN @ OKC,23,1,24,268,36,89,3,16,18,28,27,77,13,8,10,22,43,93,0.404,0.188,0.643,11.2,3.9,3.2,0.5,lauvejo01
45,Zach LaVine,Oct 30 '14 MIN vs. DET,19,1,77,1902,286,677,57,167,149,177,27,214,276,54,10,193,158,778,0.422,0.341,0.842,24.7,10.1,2.8,3.6,lavinza01
46,Kalin Lucas,Nov 19 '14 MEM @ TOR,25,1,1,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,,,6,0,0,0,lucaska01
47,Devyn Marble,Oct 28 '14 ORL @ NOP,22,1,16,208,14,44,4,22,5,16,5,31,17,9,2,9,14,37,0.318,0.182,0.313,13,2.3,1.9,1.1,marblde01
48,James Michael McAdoo,Jan 19 '15 GSW vs. DEN,22,1,15,137,24,44,0,0,14,25,15,37,2,5,9,6,21,62,0.545,,0.56,9.1,4.1,2.5,0.1,mcadoja01
49,K.J. McDaniels,Oct 29 '14 PHI @ IND,21,1,62,1352,172,434,43,150,100,133,65,200,72,44,70,105,126,487,0.396,0.287,0.752,21.8,7.9,3.2,1.2,mcdankj01
50,Doug McDermott,Oct 29 '14 CHI @ NYK,23,1,36,321,43,107,13,41,10,15,6,43,6,4,1,17,29,109,0.402,0.317,0.667,8.9,3,1.2,0.2,mcderdo01
51,Mitch McGary,Dec 14 '14 OKC vs. PHO,22,1,32,485,88,165,0,2,25,40,53,165,14,16,16,31,72,201,0.533,0,0.625,15.2,6.3,5.2,0.4,mcgarmi01
52,Jerel McNeal,Apr 2 '15 PHO @ GSW,27,1,6,36,3,11,1,2,2,2,0,3,2,3,1,5,5,9,0.273,0.5,1,6,1.5,0.5,0.3,mcneaje01
53,Elijah Millsap,Jan 5 '15 UTA vs. IND,27,1,47,924,81,238,28,90,58,86,28,150,58,56,16,67,124,248,0.34,0.311,0.674,19.7,5.3,3.2,1.2,millsel01
54,Nikola Mirotić,Oct 29 '14 CHI @ NYK,23,1,82,1654,253,624,99,313,228,284,63,404,97,54,54,89,172,833,0.405,0.316,0.803,20.2,10.2,4.9,1.2,mirotni01
55,Eric Moreland,Nov 26 '14 SAC @ HOU,23,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,1,2,1,,,0.7,0.7,0.3,0,moreler01
